folder,frames,duration_s,px_per_cm,low_reflection_window_start_s,low_reflection_window_end_s,low_reflection_ratio_median,incident_direction,direct_peak_spacing_median_cm,direct_peak_spacing_mad_cm,direct_peak_spacing_n,incident_peak_spacing_median_cm,incident_peak_spacing_mad_cm,incident_peak_spacing_n,incident_autocorr_wavelength_cm,incident_autocorr_mad_cm,fft_incident_wavelength_cm,surface_mean_reliability,xt_panel,peak_measurement
2.2好,1177,39.233333333333334,23.8125,35.266666666666666,35.96666666666667,0.46601390838623047,+x/right,7.769028663635254,1.763779640197754,129,7.454068422317505,1.3228347301483154,122,11.359563887119293,0.5039362907409668,11.47854837226723,0.4192103147506714,D:\虚拟C盘\学习\good_wave_method_trial\2.2好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\2.2好\wave_peak_measurement.png
3.2好,117,3.9,31.75,2.3666666666666667,3.066666666666667,0.16321739554405212,+x/right,7.968503952026367,1.637796401977539,115,10.188977718353271,2.220472812652588,112,11.999994277954102,0.4881887435913086,11.968498433383399,0.6870614886283875,D:\虚拟C盘\学习\good_wave_method_trial\3.2好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\3.2好\wave_peak_measurement.png
3.5好,134,4.466666666666667,31.75,1.3333333333333333,2.033333333333333,0.45920056104660034,-x/left,6.173227310180664,0.06299018859863281,6,5.559054374694824,0.39370012283325195,120,10.992120742797852,0.11023616790771484,11.968498433383399,0.4493303894996643,D:\虚拟C盘\学习\good_wave_method_trial\3.5好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\3.5好\wave_peak_measurement.png
3.7好,67,2.310344827586207,31.75,1.4137931034482758,2.1379310344827585,0.9142347574234009,-x/left,5.637795448303223,0.456693172454834,64,5.921258926391602,0.4409465789794922,155,6.503933906555176,0.36220455169677734,5.984249216691699,0.34373340010643005,D:\虚拟C盘\学习\good_wave_method_trial\3.7好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\3.7好\wave_peak_measurement.png
4.4好,136,4.689655172413793,31.75,0.9310344827586207,1.6551724137931034,0.6318403482437134,+x/right,6.960630416870117,0.9133844375610352,148,5.842519760131836,0.5196843147277832,112,10.771648406982422,0.06299209594726562,8.976373825037548,0.41672056913375854,D:\虚拟C盘\学习\good_wave_method_trial\4.4好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\4.4好\wave_peak_measurement.png
5.0好,111,3.7,31.75,2.0,2.7,0.28759974241256714,+x/right,8.330708503723145,1.874016284942627,108,9.480315208435059,2.7086591720581055,113,12.078734397888184,1.00787353515625,11.968498433383399,0.665920615196228,D:\虚拟C盘\学习\good_wave_method_trial\5.0好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\5.0好\wave_peak_measurement.png
6.1好,142,4.733333333333333,31.75,3.9,4.6,0.4606933295726776,+x/right,7.338582992553711,1.165353775024414,82,6.519685745239258,0.7559061050415039,161,9.039365768432617,2.094487190246582,11.968498433383399,0.5567229986190796,D:\虚拟C盘\学习\good_wave_method_trial\6.1好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\6.1好\wave_peak_measurement.png
7.0好,171,5.896551724137931,31.75,4.413793103448276,5.137931034482759,0.5379346013069153,+x/right,5.952755928039551,0.7401576042175293,112,5.700787544250488,0.4409456253051758,163,9.590546607971191,0.7716531753540039,5.129356471450027,0.4073967933654785,D:\虚拟C盘\学习\good_wave_method_trial\7.0好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\7.0好\wave_peak_measurement.png
8.5好,98,3.3793103448275863,31.75,1.103448275862069,1.8275862068965518,0.17478953301906586,+x/right,7.968503475189209,1.9527549743652344,127,7.181100845336914,1.7952747344970703,135,11.52755355834961,0.5984249114990234,11.968498433383399,0.5758981704711914,D:\虚拟C盘\学习\good_wave_method_trial\8.5好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\8.5好\wave_peak_measurement.png
10.0好,168,5.6,31.75,3.6666666666666665,4.366666666666666,0.16025835275650024,+x/right,7.181102752685547,1.1968517303466797,133,7.590551137924194,1.165353775024414,144,9.007869720458984,1.2913379669189453,11.968498433383399,0.6985599398612976,D:\虚拟C盘\学习\good_wave_method_trial\10.0好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\10.0好\wave_peak_measurement.png
12好,175,5.833333333333333,31.75,4.033333333333333,4.733333333333333,0.204928457736969,+x/right,7.77952766418457,0.8503932952880859,140,7.653543472290039,1.00787353515625,157,8.992121696472168,0.6456689834594727,11.968498433383399,0.7031115293502808,D:\虚拟C盘\学习\good_wave_method_trial\12好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\12好\wave_peak_measurement.png
14好,85,2.8333333333333335,31.75,1.5666666666666667,2.2666666666666666,0.1731865406036377,+x/right,6.8346452713012695,0.9763784408569336,132,7.748029708862305,0.7559089660644531,153,8.929129600524902,0.6141729354858398,11.968498433383399,0.7211366891860962,D:\虚拟C盘\学习\good_wave_method_trial\14好\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\14好\wave_peak_measurement.png
20良,121,4.172413793103448,31.75,2.793103448275862,3.5172413793103448,0.44586658477783203,+x/right,7.149606704711914,1.3070869445800781,114,7.212597370147705,1.543306589126587,132,11.102356910705566,0.9921255111694336,11.968498433383399,0.883400022983551,D:\虚拟C盘\学习\good_wave_method_trial\20良\xt_raw_incident_reflected_panels.png,D:\虚拟C盘\学习\good_wave_method_trial\20良\wave_peak_measurement.png
